2026-05-19 23:47:18 status unpacked libitm1:arm64 14.2.0-19
2026-05-19 23:47:18 install libatomic1:arm64 <none> 14.2.0-19
2026-05-19 23:47:18 status half-installed libatomic1:arm64 14.2.0-19
2026-05-19 23:47:18 status unpacked libatomic1:arm64 14.2.0-19
2026-05-19 23:47:18 install libasan8:arm64 <none> 14.2.0-19
2026-05-19 23:47:18 status half-installed libasan8:arm64 14.2.0-19
2026-05-19 23:47:18 status unpacked libasan8:arm64 14.2.0-19
2026-05-19 23:47:18 install liblsan0:arm64 <none> 14.2.0-19
2026-05-19 23:47:18 status half-installed liblsan0:arm64 14.2.0-19
2026-05-19 23:47:18 status unpacked liblsan0:arm64 14.2.0-19
2026-05-19 23:47:18 install libtsan2:arm64 <none> 14.2.0-19
2026-05-19 23:47:18 status half-installed libtsan2:arm64 14.2.0-19
2026-05-19 23:47:19 status unpacked libtsan2:arm64 14.2.0-19
2026-05-19 23:47:19 install libubsan1:arm64 <none> 14.2.0-19
2026-05-19 23:47:19 status half-installed libubsan1:arm64 14.2.0-19
2026-05-19 23:47:19 status unpacked libubsan1:arm64 14.2.0-19
2026-05-19 23:47:19 install libhwasan0:arm64 <none> 14.2.0-19
2026-05-19 23:47:19 status half-installed libhwasan0:arm64 14.2.0-19
2026-05-19 23:47:19 status unpacked libhwasan0:arm64 14.2.0-19
2026-05-19 23:47:19 install libgcc-14-dev:arm64 <none> 14.2.0-19
2026-05-19 23:47:19 status half-installed libgcc-14-dev:arm64 14.2.0-19
2026-05-19 23:47:19 status unpacked libgcc-14-dev:arm64 14.2.0-19
2026-05-19 23:47:19 install gcc-14-aarch64-linux-gnu:arm64 <none> 14.2.0-19
2026-05-19 23:47:19 status half-installed gcc-14-aarch64-linux-gnu:arm64 14.2.0-19
2026-05-19 23:47:20 status unpacked gcc-14-aarch64-linux-gnu:arm64 14.2.0-19
2026-05-19 23:47:20 install gcc-14:arm64 <none> 14.2.0-19
2026-05-19 23:47:20 status half-installed gcc-14:arm64 14.2.0-19
2026-05-19 23:47:20 status unpacked gcc-14:arm64 14.2.0-19
2026-05-19 23:47:20 install gcc-aarch64-linux-gnu:arm64 <none> 4:14.2.0-1
2026-05-19 23:47:20 status half-installed gcc-aarch64-linux-gnu:arm64 4:14.2.0-1
2026-05-19 23:47:20 status unpacked gcc-aarch64-linux-gnu:arm64 4:14.2.0-1
2026-05-19 23:47:20 install gcc:arm64 <none> 4:14.2.0-1
2026-05-19 23:47:20 status half-installed gcc:arm64 4:14.2.0-1
2026-05-19 23:47:20 status unpacked gcc:arm64 4:14.2.0-1
2026-05-19 23:47:20 install gnupg-l10n:all <none> 2.4.7-21+deb13u1
2026-05-19 23:47:20 status half-installed gnupg-l10n:all 2.4.7-21+deb13u1
2026-05-19 23:47:20 status unpacked gnupg-l10n:all 2.4.7-21+deb13u1
2026-05-19 23:47:20 install gpg:arm64 <none> 2.4.7-21+deb13u1+b3
2026-05-19 23:47:20 status half-installed gpg:arm64 2.4.7-21+deb13u1+b3
2026-05-19 23:47:20 status unpacked gpg:arm64 2.4.7-21+deb13u1+b3
2026-05-19 23:47:20 install libncursesw6:arm64 <none> 6.5+20250216-2
2026-05-19 23:47:20 status half-installed libncursesw6:arm64 6.5+20250216-2
2026-05-19 23:47:20 status unpacked libncursesw6:arm64 6.5+20250216-2
2026-05-19 23:47:20 install pinentry-curses:arm64 <none> 1.3.1-2
2026-05-19 23:47:20 status half-installed pinentry-curses:arm64 1.3.1-2
2026-05-19 23:47:20 status unpacked pinentry-curses:arm64 1.3.1-2
2026-05-19 23:47:20 install gpg-agent:arm64 <none> 2.4.7-21+deb13u1+b3
2026-05-19 23:47:20 status half-installed gpg-agent:arm64 2.4.7-21+deb13u1+b3
2026-05-19 23:47:20 status unpacked gpg-agent:arm64 2.4.7-21+deb13u1+b3
2026-05-19 23:47:20 install gpgsm:arm64 <none> 2.4.7-21+deb13u1+b3
2026-05-19 23:47:20 status half-installed gpgsm:arm64 2.4.7-21+deb13u1+b3
2026-05-19 23:47:20 status unpacked gpgsm:arm64 2.4.7-21+deb13u1+b3
2026-05-19 23:47:20 install gnupg:all <none> 2.4.7-21+deb13u1
2026-05-19 23:47:20 status half-installed gnupg:all 2.4.7-21+deb13u1
2026-05-19 23:47:20 status unpacked gnupg:all 2.4.7-21+deb13u1
2026-05-19 23:47:20 install libbluetooth3:arm64 <none> 5.82-1.1
2026-05-19 23:47:20 status half-installed libbluetooth3:arm64 5.82-1.1
2026-05-19 23:47:20 status unpacked libbluetooth3:arm64 5.82-1.1
2026-05-19 23:47:20 install libc-dev-bin:arm64 <none> 2.41-12+deb13u3
2026-05-19 23:47:20 status half-installed libc-dev-bin:arm64 2.41-12+deb13u3
2026-05-19 23:47:20 status unpacked libc-dev-bin:arm64 2.41-12+deb13u3
2026-05-19 23:47:20 install linux-libc-dev:all <none> 6.12.88-1
2026-05-19 23:47:20 status half-installed linux-libc-dev:all 6.12.88-1
2026-05-19 23:47:20 status unpacked linux-libc-dev:all 6.12.88-1
2026-05-19 23:47:20 install libcrypt-dev:arm64 <none> 1:4.4.38-1
2026-05-19 23:47:20 status half-installed libcrypt-dev:arm64 1:4.4.38-1
2026-05-19 23:47:20 status unpacked libcrypt-dev:arm64 1:4.4.38-1
2026-05-19 23:47:20 install rpcsvc-proto:arm64 <none> 1.4.3-1+b1
2026-05-19 23:47:20 status half-installed rpcsvc-proto:arm64 1.4.3-1+b1
2026-05-19 23:47:21 status unpacked rpcsvc-proto:arm64 1.4.3-1+b1
